Temps abs_alpha_bruit abs_beta_bruit abs_alpha_corrige abs_beta_corrige bruit_alpha bruit_beta
1.04601e-07 0.935073 0.0649265 0.960911 0.0390892 -0.010794 0.00641425
1.04958e-07 0.932365 0.067635 0.973029 0.026971 -0.0295969 0.0162187
1.05315e-07 0.908322 0.0916783 0.970464 0.0295358 0.044283 -0.359186
1.05672e-07 0.901569 0.0984314 0.984385 0.0156147 -0.00749283 -0.029402
1.06029e-07 0.89048 0.10952 0.98525 0.0147495 0.00348386 0.235423
1.06386e-07 0.889535 0.110465 0.992266 0.00773393 -0.043984 -0.0702128
1.06743e-07 0.927714 0.0722865 0.998748 0.0012523 -0.179351 -0.0353666
1.071e-07 0.904385 0.0956154 0.971124 0.0288755 0.0372066 -0.00819157
1.07457e-07 0.890612 0.109388 0.968568 0.0314318 -0.00368857 -0.0443309
1.07814e-07 0.854421 0.145579 0.943555 0.056445 0.0594831 0.0761706
1.08171e-07 0.838473 0.161527 0.945653 0.0543466 -0.00917769 0.00294935
1.08528e-07 0.857264 0.142736 0.953351 0.0466485 -0.106809 0.186891
1.08885e-07 0.849498 0.150502 0.922529 0.0774711 -0.0378224 -0.0386674
1.09242e-07 0.829023 0.170977 0.895153 0.104847 -0.00361238 0.0185915
1.09599e-07 0.760901 0.239099 0.836091 0.163909 0.109185 0.0175903
1.09956e-07 0.767416 0.232584 0.879261 0.120739 -0.0759372 -0.00749454
1.10313e-07 0.724466 0.275534 0.816957 0.183043 0.0381141 -0.0768159
1.1067e-07 0.754457 0.245543 0.856137 0.143863 -0.127738 -0.131153
1.11027e-07 0.716806 0.283194 0.771863 0.228137 0.028883 -0.0556947
1.11384e-07 0.66117 0.33883 0.72975 0.27025 0.0649388 -0.0535792
1.11741e-07 0.640288 0.359712 0.735383 0.264617 -0.0102559 0.0485662
1.12098e-07 0.574417 0.425583 0.666227 0.333773 0.0792018 -0.0295638
1.12455e-07 0.578591 0.421409 0.703397 0.296603 -0.0635435 0.213386
1.12812e-07 0.523116 0.476884 0.619735 0.380265 0.0513045 0.0180473
1.13169e-07 0.520763 0.479237 0.64137 0.35863 -0.0559008 0.0281328
1.13526e-07 0.446228 0.553772 0.540607 0.459393 0.0882372 -0.081117
1.13883e-07 0.43159 0.56841 0.568778 0.431222 -0.0301321 -0.0468027
1.1424e-07 0.39394 0.60606 0.513619 0.486381 0.0179224 0.0804265
1.14597e-07 0.354458 0.645542 0.480729 0.519271 0.0214912 0.281371
